tag,layers,nodes,test_mse,best_val_mse,training_hours
2L_50N_spx,2,50,0.0018198211931938597,0.0018073284097529375,0.13157381025111084
2L_500N_spx,2,500,0.001382071874886918,0.0013665390860246253,0.4637196693605559
3L_250N_spx,3,250,0.0013426974951515644,0.0013295972905676332,0.33260315143444485
3L_500N_spx,3,500,0.001168435872177704,0.0011523203417123779,0.8200437191369448
