bucket,n,rmse_dollar,mae_dollar,mape_pct
OTM (0.80–0.97),11816,1.7463890314102173,0.9662697315216064,16.103910446166992
ATM (0.97–1.03),16645,3.661135196685791,2.222320795059204,3.712520122528076
ITM (1.03–1.20),3675,13.524120330810547,8.723079681396484,2.1279525756835938
ALL,32136,5.383331775665283,2.5038986206054688,8.087470054626465
