seed,test_mse,training_hours
42,9.792605843358615e-08,0.47197717038722214
123,8.450575883216516e-08,0.46562883057944454
456,1.0741879721535951e-07,0.4760125552011111
mean,9.66168714937036e-08,0.47120618538925924
std,1.1512484954174909e-08,0.005234620106078743
