Type,Moneyness,"Obs [20,240)","Obs [240,1094]","Mean IV [20,240)","Mean IV [240,1094]","Std IV [20,240)","Std IV [240,1094]"
Call,ITM,660182,279311,0.2765253991838614,0.25081468223593056,0.09228363376205383,0.05130528978175394
Call,ATM,203352,53741,0.1686702737715882,0.19597142916953533,0.06275987500036777,0.04265881819437332
Call,OTM,203033,136804,0.15902309020208538,0.1629592392400807,0.06333429253896328,0.04414356084030054
Put,ITM,355611,163577,0.1600638595937696,0.15997755764563476,0.05776336840460157,0.04095217172997868
Put,ATM,204724,51276,0.16832301805845923,0.19563474436383493,0.062148574045772696,0.04287436955297162
Put,OTM,547284,236532,0.26938971701895176,0.25075704569783364,0.08183109580036409,0.050888361058945716
