Type,Moneyness,"Obs [20,240)","Obs [240,1094]","Mean IV [20,240)","Mean IV [240,1094]","Std IV [20,240)","Std IV [240,1094]"
Call,ITM,557123,181406,0.3160741313569893,0.2523409719965162,0.12239801523784986,0.052145109924537386
Call,ATM,185460,32369,0.17208605162299145,0.19719366718156262,0.063653267289349,0.04098345247113106
Call,OTM,182270,83148,0.16172600730235367,0.1664872951363833,0.06399264912295573,0.048677599715807755
Put,ITM,353599,99884,0.2038599503166015,0.17366630002803254,0.07219442914624837,0.03662271250729903
Put,ATM,186418,31603,0.17286337412696196,0.20181624485017247,0.0621179363668391,0.04084179667508738
Put,OTM,461070,135210,0.26854920611403915,0.246069874846535,0.08261909199766446,0.0486246229130438
