label,layers,nodes,tag,train_hours,test_mse,train_mse
2 layers 50 nodes,2,50,2L_50N_full_dataset,1.3205682989730558,7.129661294948164e-07,7.09045389394305e-07
3 layers 50 nodes,3,50,3L_50N_full_dataset,1.6434833598877776,5.869988206632116e-07,5.863788021906657e-07
2 layers 100 nodes,2,100,2L_100N_full_dataset,1.6385423847347222,1.6353490395431436e-07,1.6297209815434144e-07
3 layers 100 nodes,3,100,3L_100N_full_dataset,1.609883541985,1.6279119105320206e-07,1.6209595665429788e-07
